Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Vuelos,Tarifa,Price,Tipo
2023-06-05,MEX,BOG,Salida 04:58 AM,Llegada 09:28 AM,P5 - 7019,GO Basic,"$548,874 COP",Directo
2023-06-08,MEX,BOG,Salida 02:33 AM,Llegada 07:03 AM,P5 - 7019,GO Basic,"$654,954 COP",Directo
2023-06-12,MEX,BOG,Salida 04:58 AM,Llegada 09:28 AM,P5 - 7019,GO Basic,"$867,114 COP",Directo
2023-06-15,MEX,BOG,Salida 02:33 AM,Llegada 07:03 AM,P5 - 7019,GO Basic,"$761,034 COP",Directo
2023-06-17,MEX,BOG,Salida 03:58 AM,Llegada 08:28 AM,P5 - 7019,GO Basic,"$761,034 COP",Directo
2023-06-22,MEX,BOG,Salida 02:33 AM,Llegada 07:03 AM,P5 - 7019,GO Basic,"$867,114 COP",Directo
2023-06-24,MEX,BOG,Salida 03:58 AM,Llegada 08:28 AM,P5 - 7019,GO Basic,"$761,034 COP",Directo
2023-06-26,MEX,BOG,Salida 04:58 AM,Llegada 09:28 AM,P5 - 7019,GO Basic,"$761,034 COP",Directo
2023-06-29,MEX,BOG,Salida 02:33 AM,Llegada 07:03 AM,P5 - 7019,GO Basic,"$867,114 COP",Directo
2023-06-02,BOG,MEX,Salida 10:00 PM,Llegada 02:48 AM,P5 - 7018,GO Basic,"$651,505 COP",Directo
2023-06-04,BOG,MEX,Salida 11:00 PM,Llegada 03:48 AM,P5 - 7018,GO Basic,"$651,505 COP",Directo
2023-06-07,BOG,MEX,Salida 08:35 PM,Llegada 01:23 AM,P5 - 7018,GO Basic,"$651,505 COP",Directo
2023-06-09,BOG,MEX,Salida 10:00 PM,Llegada 02:48 AM,P5 - 7018,GO Basic,"$1,015,645 COP",Directo
2023-06-11,BOG,MEX,Salida 11:00 PM,Llegada 03:48 AM,P5 - 7018,GO Basic,"$894,265 COP",Directo
2023-06-14,BOG,MEX,Salida 08:35 PM,Llegada 01:23 AM,P5 - 7018,GO Basic,"$894,265 COP",Directo
2023-06-16,BOG,MEX,Salida 10:00 PM,Llegada 02:48 AM,P5 - 7018,GO Basic,"$1,015,645 COP",Directo
2023-06-18,BOG,MEX,Salida 11:00 PM,Llegada 03:48 AM,P5 - 7018,GO Basic,"$894,265 COP",Directo
2023-06-21,BOG,MEX,Salida 08:35 PM,Llegada 01:23 AM,P5 - 7018,GO Basic,"$894,265 COP",Directo
