Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Vuelos,Tarifa,Price,Tipo,CaptureDate
2023-04-18,BOG,CLO,Salida 06:00 AM,Llegada 06:52 AM,P5 - 7271,GO Basic,"$221,955 COP",Directo,2023-04-18
2023-04-18,BOG,CLO,Salida 08:48 AM,Llegada 09:40 AM,P5 - 7269,GO Basic,"$205,295 COP",Directo,2023-04-18
2023-04-18,BOG,CLO,Salida 04:08 PM,Llegada 05:00 PM,P5 - 7291,GO Basic,"$188,635 COP",Directo,2023-04-18
2023-04-18,BOG,CLO,Salida 07:22 PM,Llegada 08:14 PM,P5 - 7277,GO Basic,"$205,295 COP",Directo,2023-04-18
2023-04-20,BOG,CLO,Salida 06:00 AM,Llegada 06:52 AM,P5 - 7271,GO Basic,"$221,955 COP",Directo,2023-04-18
2023-04-20,BOG,CLO,Salida 08:48 AM,Llegada 09:40 AM,P5 - 7269,GO Basic,"$205,295 COP",Directo,2023-04-18
2023-04-20,BOG,CLO,Salida 04:08 PM,Llegada 05:00 PM,P5 - 7291,GO Basic,"$188,635 COP",Directo,2023-04-18
2023-04-20,BOG,CLO,Salida 07:22 PM,Llegada 08:14 PM,P5 - 7277,GO Basic,"$205,295 COP",Directo,2023-04-18
2023-04-26,BOG,CLO,Salida 06:00 AM,Llegada 06:52 AM,P5 - 7271,GO Basic,"$221,955 COP",Directo,2023-04-18
2023-04-26,BOG,CLO,Salida 08:48 AM,Llegada 09:40 AM,P5 - 7269,GO Basic,"$205,295 COP",Directo,2023-04-18
2023-04-26,BOG,CLO,Salida 04:08 PM,Llegada 05:00 PM,P5 - 7291,GO Basic,"$188,635 COP",Directo,2023-04-18
2023-04-26,BOG,CLO,Salida 07:22 PM,Llegada 08:14 PM,P5 - 7277,GO Basic,"$205,295 COP",Directo,2023-04-18
2023-04-28,BOG,CLO,Salida 06:00 AM,Llegada 06:52 AM,P5 - 7271,GO Basic,"$221,955 COP",Directo,2023-04-18
2023-04-28,BOG,CLO,Salida 08:48 AM,Llegada 09:40 AM,P5 - 7269,GO Basic,"$205,295 COP",Directo,2023-04-18
2023-04-28,BOG,CLO,Salida 04:08 PM,Llegada 05:00 PM,P5 - 7291,GO Basic,"$188,635 COP",Directo,2023-04-18
2023-04-28,BOG,CLO,Salida 07:22 PM,Llegada 08:14 PM,P5 - 7277,GO Basic,"$205,295 COP",Directo,2023-04-18
